Prefijo,CHL_Components,Modelos,Fenotipos,Heritability
PCSprout,C,RKHS,PCSprout.C,0.533430793855208
PCSprout,C,RKHS,PCSprout.C,0.549915955048107
PCSprout,C,RKHS,PCSprout.C,0.564837239119595
PCSprout,C,RKHS,PCSprout.C,0.572572113436334
PCSprout,C,RKHS,PCSprout.C,0.536904261056831
PCSprout,C,RKHS,PCSprout.C,0.589525484696444
PCSprout,C,RKHS,PCSprout.C,0.533354240048465
PCSprout,C,RKHS,PCSprout.C,0.535571368602661
PCSprout,C,RKHS,PCSprout.C,0.48606239850729
PCSprout,C,RKHS,PCSprout.C,0.477631447411779
PCSprout,C,RKHS,PCSprout.C,0.448142869352947
PCSprout,C,RKHS,PCSprout.C,0.520574353869423
PCSprout,C,RKHS,PCSprout.C,0.640737763366684
PCSprout,C,RKHS,PCSprout.C,0.556841067053477
PCSprout,C,RKHS,PCSprout.C,0.553941811951322
PCSprout,C,RKHS,PCSprout.C,0.588461795112928
PCSprout,C,RKHS,PCSprout.C,0.505156084571059
PCSprout,C,RKHS,PCSprout.C,0.519010792046728
PCSprout,C,RKHS,PCSprout.C,0.587887069334257
PCSprout,C,RKHS,PCSprout.C,0.56804014536067
PCSprout,C,RKHS,PCSprout.C,0.52834527027561
PCSprout,C,RKHS,PCSprout.C,0.531815004463609
PCSprout,C,RKHS,PCSprout.C,0.489601162286334
PCSprout,C,RKHS,PCSprout.C,0.499512753166191
PCSprout,C,RKHS,PCSprout.C,0.513715132281151
PCSprout,C,RKHS,PCSprout.C,0.48696604708977
PCSprout,C,RKHS,PCSprout.C,0.478960590650015
PCSprout,C,RKHS,PCSprout.C,0.567001014221126
PCSprout,C,RKHS,PCSprout.C,0.550064023093099
PCSprout,C,RKHS,PCSprout.C,0.634471140443239
PCSprout,C,RKHS,PCSprout.C,0.580605090240489
PCSprout,C,RKHS,PCSprout.C,0.571300628419658
PCSprout,C,RKHS,PCSprout.C,0.597355671717312
PCSprout,C,RKHS,PCSprout.C,0.550415849261754
PCSprout,C,RKHS,PCSprout.C,0.59722176481268
PCSprout,C,RKHS,PCSprout.C,0.571836922979641
PCSprout,C,RKHS,PCSprout.C,0.55848090659596
PCSprout,C,RKHS,PCSprout.C,0.520166365293878
PCSprout,C,RKHS,PCSprout.C,0.624644817383576
PCSprout,C,RKHS,PCSprout.C,0.658303407607555
PCSprout,C,RKHS,PCSprout.C,0.552596910023814
PCSprout,C,RKHS,PCSprout.C,0.544369158003849
PCSprout,C,RKHS,PCSprout.C,0.585946931937617
PCSprout,C,RKHS,PCSprout.C,0.627266621729732
PCSprout,C,RKHS,PCSprout.C,0.530454295576807
PCSprout,C,RKHS,PCSprout.C,0.537222850706046
PCSprout,C,RKHS,PCSprout.C,0.492176957033448
PCSprout,C,RKHS,PCSprout.C,0.565909794574556
PCSprout,C,RKHS,PCSprout.C,0.573827788428955
PCSprout,C,RKHS,PCSprout.C,0.565427926371721
PCSprout,C,RKHS,PCSprout.C,0.498773247554754
PCSprout,C,RKHS,PCSprout.C,0.581825945701526
PCSprout,C,RKHS,PCSprout.C,0.623920403013622
PCSprout,C,RKHS,PCSprout.C,0.685244401071585
PCSprout,C,RKHS,PCSprout.C,0.667218276278955
PCSprout,C,RKHS,PCSprout.C,0.57892790551929
PCSprout,C,RKHS,PCSprout.C,0.489363164769152
PCSprout,C,RKHS,PCSprout.C,0.513215074082007
PCSprout,C,RKHS,PCSprout.C,0.548624863376113
PCSprout,C,RKHS,PCSprout.C,0.529255722889737
PCSprout,C,RKHS,PCSprout.C,0.650067765084119
PCSprout,C,RKHS,PCSprout.C,0.59046715005753
PCSprout,C,RKHS,PCSprout.C,0.535816558237329
PCSprout,C,RKHS,PCSprout.C,0.530018097122447
PCSprout,C,RKHS,PCSprout.C,0.53904881272933
PCSprout,C,RKHS,PCSprout.C,0.5595487782706
PCSprout,C,RKHS,PCSprout.C,0.546863804452595
PCSprout,C,RKHS,PCSprout.C,0.510166170085481
PCSprout,C,RKHS,PCSprout.C,0.521075279333024
PCSprout,C,RKHS,PCSprout.C,0.622313925260953
PCSprout,C,RKHS,PCSprout.C,0.583307090088116
PCSprout,C,RKHS,PCSprout.C,0.597813468721415
PCSprout,C,RKHS,PCSprout.C,0.596911573592673
PCSprout,C,RKHS,PCSprout.C,0.624977959194228
PCSprout,C,RKHS,PCSprout.C,0.637438315375236
PCSprout,C,RKHS,PCSprout.C,0.576080695813253
PCSprout,C,RKHS,PCSprout.C,0.585659522217053
PCSprout,C,RKHS,PCSprout.C,0.489431643610195
PCSprout,C,RKHS,PCSprout.C,0.506604526931994
PCSprout,C,RKHS,PCSprout.C,0.676056722922233
PCSprout,C,RKHS,PCSprout.C,0.585508253859436
PCSprout,C,RKHS,PCSprout.C,0.588188547958897
PCSprout,C,RKHS,PCSprout.C,0.537851402405455
PCSprout,C,RKHS,PCSprout.C,0.545995233773056
PCSprout,C,RKHS,PCSprout.C,0.565455021405618
PCSprout,C,RKHS,PCSprout.C,0.545443761814344
