Prefijo,Componentes_CHL,Modelos,Fenotipos,Heredabilidad
CPBrote,C,RKHS,CPBrote.C,0.516723180018472
CPBrote,C,RKHS,CPBrote.C,0.5895156989496
CPBrote,C,RKHS,CPBrote.C,0.563339413568036
CPBrote,C,RKHS,CPBrote.C,0.614488006107423
CPBrote,C,RKHS,CPBrote.C,0.605704506907819
CPBrote,C,RKHS,CPBrote.C,0.574866222825044
CPBrote,C,RKHS,CPBrote.C,0.617650762071598
CPBrote,C,RKHS,CPBrote.C,0.562508378486809
CPBrote,C,RKHS,CPBrote.C,0.574771671472518
CPBrote,C,RKHS,CPBrote.C,0.588904139496737
CPBrote,C,RKHS,CPBrote.C,0.522019443474211
CPBrote,C,RKHS,CPBrote.C,0.653612334156053
CPBrote,C,RKHS,CPBrote.C,0.643243357543211
CPBrote,C,RKHS,CPBrote.C,0.606955942596265
CPBrote,C,RKHS,CPBrote.C,0.565379635649396
CPBrote,C,RKHS,CPBrote.C,0.620627132000895
CPBrote,C,RKHS,CPBrote.C,0.545679330925139
CPBrote,C,RKHS,CPBrote.C,0.596598962505936
CPBrote,C,RKHS,CPBrote.C,0.609180940471424
CPBrote,C,RKHS,CPBrote.C,0.494215616574147
CPBrote,C,RKHS,CPBrote.C,0.549325437179551
CPBrote,C,RKHS,CPBrote.C,0.564867082527929
CPBrote,C,RKHS,CPBrote.C,0.62674072920625
CPBrote,C,RKHS,CPBrote.C,0.4934155133077
CPBrote,C,RKHS,CPBrote.C,0.475049979451735
CPBrote,C,RKHS,CPBrote.C,0.490597116426255
CPBrote,C,RKHS,CPBrote.C,0.493906800496372
CPBrote,C,RKHS,CPBrote.C,0.516752530185441
CPBrote,C,RKHS,CPBrote.C,0.578150529204665
CPBrote,C,RKHS,CPBrote.C,0.61828579766833
CPBrote,C,RKHS,CPBrote.C,0.657932744252781
CPBrote,C,RKHS,CPBrote.C,0.617066722463874
CPBrote,C,RKHS,CPBrote.C,0.583383938423144
CPBrote,C,RKHS,CPBrote.C,0.623065947910745
CPBrote,C,RKHS,CPBrote.C,0.514036995005954
CPBrote,C,RKHS,CPBrote.C,0.479547710535844
CPBrote,C,RKHS,CPBrote.C,0.469548125187091
CPBrote,C,RKHS,CPBrote.C,0.591000757347378
CPBrote,C,RKHS,CPBrote.C,0.57809122427292
CPBrote,C,RKHS,CPBrote.C,0.59432934340069
CPBrote,C,RKHS,CPBrote.C,0.518908407383291
CPBrote,C,RKHS,CPBrote.C,0.550726651864983
CPBrote,C,RKHS,CPBrote.C,0.561846010225548
CPBrote,C,RKHS,CPBrote.C,0.582845302395031
CPBrote,C,RKHS,CPBrote.C,0.578481128106456
CPBrote,C,RKHS,CPBrote.C,0.514735942189089
CPBrote,C,RKHS,CPBrote.C,0.549286878604819
CPBrote,C,RKHS,CPBrote.C,0.533430793855208
CPBrote,C,RKHS,CPBrote.C,0.549915955048107
CPBrote,C,RKHS,CPBrote.C,0.564837239119595
CPBrote,C,RKHS,CPBrote.C,0.572572113436334
CPBrote,C,RKHS,CPBrote.C,0.536904261056831
CPBrote,C,RKHS,CPBrote.C,0.589525484696444
CPBrote,C,RKHS,CPBrote.C,0.533354240048465
CPBrote,C,RKHS,CPBrote.C,0.535571368602661
CPBrote,C,RKHS,CPBrote.C,0.48606239850729
CPBrote,C,RKHS,CPBrote.C,0.477631447411779
CPBrote,C,RKHS,CPBrote.C,0.448142869352947
CPBrote,C,RKHS,CPBrote.C,0.520574353869423
CPBrote,C,RKHS,CPBrote.C,0.640737763366684
CPBrote,C,RKHS,CPBrote.C,0.556841067053477
CPBrote,C,RKHS,CPBrote.C,0.553941811951322
CPBrote,C,RKHS,CPBrote.C,0.588461795112928
CPBrote,C,RKHS,CPBrote.C,0.505156084571059
CPBrote,C,RKHS,CPBrote.C,0.519010792046728
CPBrote,C,RKHS,CPBrote.C,0.587887069334257
CPBrote,C,RKHS,CPBrote.C,0.56804014536067
CPBrote,C,RKHS,CPBrote.C,0.52834527027561
CPBrote,C,RKHS,CPBrote.C,0.531815004463609
CPBrote,C,RKHS,CPBrote.C,0.489601162286334
CPBrote,C,RKHS,CPBrote.C,0.499512753166191
CPBrote,C,RKHS,CPBrote.C,0.513715132281151
CPBrote,C,RKHS,CPBrote.C,0.48696604708977
CPBrote,C,RKHS,CPBrote.C,0.478960590650015
CPBrote,C,RKHS,CPBrote.C,0.567001014221126
CPBrote,C,RKHS,CPBrote.C,0.550064023093099
CPBrote,C,RKHS,CPBrote.C,0.634471140443239
CPBrote,C,RKHS,CPBrote.C,0.580605090240489
CPBrote,C,RKHS,CPBrote.C,0.571300628419658
CPBrote,C,RKHS,CPBrote.C,0.597355671717312
CPBrote,C,RKHS,CPBrote.C,0.550415849261754
CPBrote,C,RKHS,CPBrote.C,0.59722176481268
CPBrote,C,RKHS,CPBrote.C,0.571836922979641
CPBrote,C,RKHS,CPBrote.C,0.55848090659596
CPBrote,C,RKHS,CPBrote.C,0.520166365293878
CPBrote,C,RKHS,CPBrote.C,0.624644817383576
CPBrote,C,RKHS,CPBrote.C,0.658303407607555
CPBrote,C,RKHS,CPBrote.C,0.552596910023814
CPBrote,C,RKHS,CPBrote.C,0.544369158003849
CPBrote,C,RKHS,CPBrote.C,0.585946931937617
CPBrote,C,RKHS,CPBrote.C,0.627266621729732
CPBrote,C,RKHS,CPBrote.C,0.530454295576807
CPBrote,C,RKHS,CPBrote.C,0.537222850706046
CPBrote,C,RKHS,CPBrote.C,0.492176957033448
CPBrote,C,RKHS,CPBrote.C,0.565909794574556
CPBrote,C,RKHS,CPBrote.C,0.573827788428955
CPBrote,C,RKHS,CPBrote.C,0.565427926371721
CPBrote,C,RKHS,CPBrote.C,0.498773247554754
CPBrote,C,RKHS,CPBrote.C,0.581825945701526
CPBrote,C,RKHS,CPBrote.C,0.623920403013622
CPBrote,C,RKHS,CPBrote.C,0.685244401071585
CPBrote,C,RKHS,CPBrote.C,0.667218276278955
CPBrote,C,RKHS,CPBrote.C,0.57892790551929
CPBrote,C,RKHS,CPBrote.C,0.489363164769152
CPBrote,C,RKHS,CPBrote.C,0.513215074082007
CPBrote,C,RKHS,CPBrote.C,0.548624863376113
CPBrote,C,RKHS,CPBrote.C,0.529255722889737
CPBrote,C,RKHS,CPBrote.C,0.650067765084119
CPBrote,C,RKHS,CPBrote.C,0.59046715005753
CPBrote,C,RKHS,CPBrote.C,0.535816558237329
CPBrote,C,RKHS,CPBrote.C,0.530018097122447
CPBrote,C,RKHS,CPBrote.C,0.53904881272933
CPBrote,C,RKHS,CPBrote.C,0.5595487782706
CPBrote,C,RKHS,CPBrote.C,0.546863804452595
CPBrote,C,RKHS,CPBrote.C,0.510166170085481
CPBrote,C,RKHS,CPBrote.C,0.521075279333024
CPBrote,C,RKHS,CPBrote.C,0.622313925260953
CPBrote,C,RKHS,CPBrote.C,0.583307090088116
CPBrote,C,RKHS,CPBrote.C,0.597813468721415
CPBrote,C,RKHS,CPBrote.C,0.596911573592673
